index	year	y1	y2	y3	y4	y5	b	x1	x2	x3	x4	x5	e	w1	w2	w3	w4	w5	TA
1505	2009	33157.15148722368	9464703.965937316	3467025.725524283	1845939.82168849	184294	349251	6622	408889.2448486071	4591121.761315112	139226.8307461844	6180483.641156636	1278103.8	48.57114832908486	.2815075430697907	.0413727471997106	.0048682684558481	.0153809469584117	16152751.69368416
1505	2010	25117.20431580606	9424275.55705139	3982504.923190222	1740260.582139539	205261	404704	6437	400629.8677786369	4417709.802433185	104875.0681143628	9740227.135119297	1586758	47.66155314726935	.2839259076692288	.0402337036108139	.0028052415982156	.0053733749975493	16432272.01029971
1541	2001	948586.0489384866	3036836.149500618	1472757.923113771	1466755.180441605	153106	42667	2150.25	146066.9244702919	3088428.134282826	41810.09935340902	2752993.41090422	525575.75	76.3209912304237	.279616831289563	.0494845808128835	.0100423997596234	.0258237679138345	7831202.322182694
1541	2002	1039997.213672286	2819682.719681678	2005514.057709333	1369481.753818672	160413	46869	2129.75	144691.4554421939	3083858.549708564	40050.96012008463	3201560.514639832	553614.5	79.01773463934175	.3046480803699185	.023040772039708	.00593108514372	.0139615978628589	8073620.527590814
1541	2003	1023789.343415157	2522055.151933427	2429035.187780763	1715554.543427948	168016	44993	2099.5	152691.8490594271	3301259.876476137	44446.48490648222	3500027.596291133	626216.75	78.76343963443279	.2559169114561477	.0155511343459594	.0031956174389409	.009482789921679	8654176.576575115
1541	2004	1058351.05842556	2609878.887195846	2533086.460748204	1671486.575901326	178516	63377	2142.25	146417.5494263166	3469541.949272769	44935.21830989901	3387049.368417192	671590	81.30376574882872	.2840763724329465	.0154623219827359	.0043694734784458	.0081199057518567	8816373.846643187
1541	2005	1144134.5	3192230.25	2260854	1621881.75	195320	46140	2117	136984	3663556	44168.5	3304060.500000001	721495.75	77.69721303731696	.2953264614845529	.0337303428690595	.0079241993728562	.0120049254546035	9015873
1541	2006	1091135.970340784	3958628.349279675	2041217.376565739	1542366.755496684	205696	33058	2118.25	133551.4412707463	4199826.316142017	31763.0574805887	3440309.599458401	836637.25	81.08249384918696	.3154710063557968	.049618551967577	.0093045394176218	.0174214691794753	9390915.136732044
1541	2007	1034833.233637417	4239684.682924785	1995967.412771121	1312001.853685875	218677	48740	2133	125520.9129718147	4020499.967384376	34104.77555255747	3365739.297251512	877614	83.20589317046452	.3125899300714962	.0530070222534988	.0103029761863877	.0211220581854657	9284328.64909203
1572	2001	533511.8313346182	3883986.399957058	2089259.30504357	2413982.22317936	199137	69284	2110.25	90308.30707799703	4725994.034714308	80279.63416328056	4327114.268773992	577567.25	66.01580891940071	.2831025667182916	.0465372044750884	.0214491382787832	.0272165214502076	9955019.412881527
